time;position_error
51.43s;0.0144nm;
102.86s;0.0420nm;
154.29s;0.0808nm;
205.71s;0.1280nm;
257.14s;0.1802nm;
308.57s;0.2336nm;
360.00s;0.2845nm;
411.43s;0.3291nm;
462.86s;0.3643nm;
514.29s;0.3876nm;
565.71s;0.3972nm;
617.14s;0.3924nm;
668.57s;0.3734nm;
720.00s;0.3415nm;
771.43s;0.2991nm;
822.86s;0.2490nm;
874.29s;0.1950nm;
925.71s;0.1410nm;
977.14s;0.0909nm;
1028.57s;0.0483nm;
1080.00s;0.0166nm;
1131.43s;0.0045nm;
1182.86s;0.0085nm;
1234.29s;0.0039nm;
1285.71s;0.0255nm;
1337.14s;0.0608nm;
1388.57s;0.1055nm;
1440.00s;0.1564nm;
1491.43s;0.2098nm;
1542.86s;0.2619nm;
1594.29s;0.3090nm;
1645.71s;0.3477nm;
1697.14s;0.3752nm;
1748.57s;0.3895nm;
1800.00s;0.3895nm;
1851.43s;0.3751nm;
1902.86s;0.3474nm;
1954.29s;0.3081nm;
2005.71s;0.2603nm;
2057.14s;0.2072nm;
2108.57s;0.1527nm;
2160.00s;0.1010nm;
2211.43s;0.0557nm;
2262.86s;0.0206nm;
2314.29s;0.0082nm;
2365.71s;0.0155nm;
2417.14s;0.0114nm;
2468.57s;0.0121nm;
2520.00s;0.0421nm;
2571.43s;0.0838nm;
2622.86s;0.1330nm;
2674.29s;0.1859nm;
2725.71s;0.2389nm;
2777.14s;0.2880nm;
2828.57s;0.3298nm;
2880.00s;0.3613nm;
2931.43s;0.3802nm;
2982.86s;0.3850nm;
3034.29s;0.3754nm;
3085.71s;0.3519nm;
3137.14s;0.3163nm;
3188.57s;0.2709nm;
3240.00s;0.2192nm;
3291.43s;0.1648nm;
3342.86s;0.1118nm;
3394.29s;0.0642nm;
3445.71s;0.0262nm;
3497.14s;0.0114nm;
3548.57s;0.0213nm;
3600.00s;0.0212nm;
3651.43s;0.0113nm;
3702.86s;0.0258nm;
3754.29s;0.0633nm;
3805.71s;0.1101nm;
3857.14s;0.1621nm;
3908.57s;0.2155nm;
3960.00s;0.2663nm;
4011.43s;0.3109nm;
4062.86s;0.3461nm;
4114.29s;0.3694nm;
4165.71s;0.3790nm;
4217.14s;0.3741nm;
4268.57s;0.3552nm;
4320.00s;0.3234nm;
4371.43s;0.2809nm;
4422.86s;0.2310nm;
4474.29s;0.1771nm;
4525.71s;0.1233nm;
4577.14s;0.0738nm;
4628.57s;0.0331nm;
4680.00s;0.0146nm;
4731.43s;0.0257nm;
4782.86s;0.0298nm;
4834.29s;0.0219nm;
4885.71s;0.0158nm;
