time;position;tas;heading_angle;climb_angle;
51.43s;38°48'37.060307"N 9°4'32.548194"W 30357.14ft;701.9km/h;35.45°;0.62°;
102.86s;38°53'0.920432"N 9°0'30.984758"W 30688.78ft;701.7km/h;35.49°;0.58°;
154.29s;38°57'24.539673"N 8°56'29.015940"W 30996.72ft;701.5km/h;35.53°;0.54°;
205.71s;39°1'47.879557"N 8°52'26.675208"W 31282.67ft;701.1km/h;35.57°;0.50°;
257.14s;39°6'10.911784"N 8°48'23.987000"W 31548.19ft;700.6km/h;35.62°;0.46°;
308.57s;39°10'33.619796"N 8°44'20.965149"W 31794.75ft;700.2km/h;35.66°;0.43°;
360.00s;39°14'55.999585"N 8°40'17.612001"W 32023.70ft;699.7km/h;35.70°;0.40°;
411.43s;39°19'18.059755"N 8°36'13.918199"W 32236.29ft;699.2km/h;35.74°;0.37°;
462.86s;39°23'39.820889"N 8°32'9.863125"W 32433.70ft;698.8km/h;35.79°;0.35°;
514.29s;39°28'1.314247"N 8°28'5.415966"W 32617.00ft;698.4km/h;35.83°;0.32°;
565.71s;39°32'22.579827"N 8°24'0.537403"W 32787.22ft;698.2km/h;35.87°;0.30°;
617.14s;39°36'43.663826"N 8°19'55.181879"W 32945.27ft;698.1km/h;35.92°;0.28°;
668.57s;39°41'4.615585"N 8°15'49.300401"W 33092.04ft;698.2km/h;35.96°;0.26°;
720.00s;39°45'25.484143"N 8°11'42.843754"W 33228.32ft;698.3km/h;36.00°;0.24°;
771.43s;39°49'46.314599"N 8°7'35.765939"W 33354.87ft;698.6km/h;36.05°;0.22°;
822.86s;39°54'7.144565"N 8°3'28.027591"W 33472.38ft;699.0km/h;36.09°;0.21°;
874.29s;39°58'28.001025"N 7°59'19.599062"W 33581.50ft;699.5km/h;36.14°;0.19°;
925.71s;40°2'48.897942"N 7°55'10.462833"W 33682.82ft;700.0km/h;36.18°;0.18°;
977.14s;40°7'9.834908"N 7°51'0.614975"W 33776.90ft;700.5km/h;36.23°;0.16°;
1028.57s;40°11'30.797019"N 7°46'50.065453"W 33864.27ft;701.0km/h;36.27°;0.15°;
1080.00s;40°15'51.756033"N 7°42'38.837197"W 33945.39ft;701.4km/h;36.32°;0.14°;
1131.43s;40°20'12.672685"N 7°38'26.964046"W 34020.72ft;701.7km/h;36.36°;0.13°;
1182.86s;40°24'33.499906"N 7°34'14.487780"W 34090.67ft;701.8km/h;36.41°;0.12°;
1234.29s;40°28'54.186579"N 7°30'1.454583"W 34155.62ft;701.9km/h;36.45°;0.11°;
1285.71s;40°33'14.681449"N 7°25'47.911295"W 34215.93ft;701.8km/h;36.50°;0.11°;
1337.14s;40°37'34.936825"N 7°21'33.901805"W 34271.94ft;701.6km/h;36.54°;0.10°;
1388.57s;40°41'54.911801"N 7°17'19.463857"W 34323.94ft;701.2km/h;36.59°;0.09°;
1440.00s;40°46'14.574812"N 7°13'4.626454"W 34372.23ft;700.8km/h;36.64°;0.08°;
1491.43s;40°50'33.905444"N 7°8'49.407956"W 34417.07ft;700.3km/h;36.68°;0.08°;
1542.86s;40°54'52.895474"N 7°4'33.814899"W 34458.71ft;699.8km/h;36.73°;0.07°;
